Title,Pembimbing,Keywords,NIM
Sistem Manajemen Basis Data Patroli Pencegahan Karhutla Wilayah Sumatra,"Prof. Dr. Imas Sukaesih Sitanggang, S.Si, M.Kom","economics, mobile web, prototyping, sistem akuisisi, komunikasi, ilmu komputer, visualisasi data, manajemen basis data, proses pengembangan, sistem informasi, proses, model relasional, sistem arsitektur, visualisasi",G6401211005
Perancangan Antarmuka Pengguna Web Mata Kuliah Interaksi Manusia Komputer untuk Mendukung Kegiatan Pembelajaran Berbasis Proyek,"Auzi Asfarian, S.Komp., M.Kom.","desain pengalaman, antarmuka pengguna grafis, proses, pengalaman pengguna, antarmuka pengguna",G6401211005
Perancangan dan Implementasi Modul Frontend Sistem Alumni Peduli Berbasis Web Menggunakan Pendekatan UX,"Dr. Yani Nurhadryani, S.Si, MT","meningkatkan, fungsi, kejelasan, proses",G6401211005
Pengembangan Modul Pelaksanaan dan Pemantauan Tugas Akhir pada Sistem Informasi Manajemen Tugas Akhir,"Dean Apriana Ramadhan, S.Kom., M.Kom.","software, software development, ilmu komputer, fungsi, sistem informasi, sistem informasi manajemen",G6401211005
Sistem Manajemen Basis Data Patroli Pencegahan Karhutla Wilayah Sumatra,"Prof. Dr. Imas Sukaesih Sitanggang, S.Si, M.Kom","economics, mobile web, prototyping, sistem akuisisi, komunikasi, ilmu komputer, visualisasi data, manajemen basis data, proses pengembangan, sistem informasi, proses, model relasional, sistem arsitektur, visualisasi",G6401211006
Clustering Interaksi antar Protein dan Fungsi Molekuler Menggunakan Graf Fuzzy K-partite,"Prof. Dr. Eng. Wisnu Ananta Kusuma, ST, MT","clustering, database, meningkatkan, pembentukan sel, hasil pengelompokan, pengumpulan data, fungsi, proses, proses penemuan",G6401211006
Pengembangan Modul Pelaksanaan dan Pemantauan Tugas Akhir pada Sistem Informasi Manajemen Tugas Akhir,"Dean Apriana Ramadhan, S.Kom., M.Kom.","software, software development, ilmu komputer, fungsi, sistem informasi, sistem informasi manajemen",G6401211006
Perancangan dan Implementasi Modul Frontend Sistem Alumni Peduli Berbasis Web Menggunakan Pendekatan UX,"Dr. Yani Nurhadryani, S.Si, MT","meningkatkan, fungsi, kejelasan, proses",G6401211006
Perancangan Arsitektur Sistem Informasi Patroli Pencegahan Kebakaran Hutan dan Lahan (SIPP Karhutla) Menggunakan TOGAF ADM,"Dr. Hendra Rahmawan, S.Kom, M.Kom","architecture framework, bpmn, business process, business process model, business process modeling, class diagram, information system, process, process modeling, requirements management, system architectures, use case diagram, model arsitektur, pengumpulan data, proses pengembangan, ekonomi, perangkat keras, kualitas informasi, sistem informasi, arsitektur sistem informasi, teknologi informasi, proses, kepuasan, kualitas layanan, perangkat lunak, arsitektur sistem, kualitas sistem",G6401211006
Clustering Interaksi antar Protein dan Fungsi Molekuler Menggunakan Graf Fuzzy K-partite,"Prof. Dr. Eng. Wisnu Ananta Kusuma, ST, MT","clustering, database, meningkatkan, pembentukan sel, hasil pengelompokan, pengumpulan data, fungsi, proses, proses penemuan",G6401211007
Perancangan dan Implementasi Modul Frontend Sistem Alumni Peduli Berbasis Web Menggunakan Pendekatan UX,"Dr. Yani Nurhadryani, S.Si, MT","meningkatkan, fungsi, kejelasan, proses",G6401211007
Pengembangan Business Trip Management Sytem Menggunakan Workflow Engine (Studi Kasus PT AMN Indonesia).,"Irman Hermadi, S.Kom, MS, P.hD","engine, prototyping, fungsi, teknologi informasi",G6401211007
Pengembangan Modul Pelaksanaan dan Pemantauan Tugas Akhir pada Sistem Informasi Manajemen Tugas Akhir,"Prof. Dr. Imas Sukaesih Sitanggang, S.Si, M.Kom","software, software development, ilmu komputer, fungsi, sistem informasi, sistem informasi manajemen",G6401211007
Analisis Jejaring Interaksi Protein-Protein untuk Mengidentifikasi Protein Penting Terkait Hiperinflamasi pada COVID-19,"Dr. Eng. Annisa, S.Kom, M.Kom","bipartite graph, centrality measure, clustering, jaringan biologis, seluler, fungsi, ontologi, proses, proses penemuan, topologi",G6401211007
Clustering Interaksi antar Protein dan Fungsi Molekuler Menggunakan Graf Fuzzy K-partite,"Prof. Dr. Eng. Wisnu Ananta Kusuma, ST, MT","clustering, database, meningkatkan, pembentukan sel, hasil pengelompokan, pengumpulan data, fungsi, proses, proses penemuan",G6401211008
Sistem Manajemen Basis Data Patroli Pencegahan Karhutla Wilayah Sumatra,"Prof. Dr. Imas Sukaesih Sitanggang, S.Si, M.Kom","economics, mobile web, prototyping, sistem akuisisi, komunikasi, ilmu komputer, visualisasi data, manajemen basis data, proses pengembangan, sistem informasi, proses, model relasional, sistem arsitektur, visualisasi",G6401211008
Perancangan dan Implementasi Modul Frontend Sistem Alumni Peduli Berbasis Web Menggunakan Pendekatan UX,"Dr. Yani Nurhadryani, S.Si, MT","meningkatkan, fungsi, kejelasan, proses",G6401211008
Pengembangan Modul Pelaksanaan dan Pemantauan Tugas Akhir pada Sistem Informasi Manajemen Tugas Akhir,"Dean Apriana Ramadhan, S.Kom., M.Kom.","software, software development, ilmu komputer, fungsi, sistem informasi, sistem informasi manajemen",G6401211008
Perancangan Arsitektur Sistem Informasi Patroli Pencegahan Kebakaran Hutan dan Lahan (SIPP Karhutla) Menggunakan TOGAF ADM,"Dr. Hendra Rahmawan, S.Kom, M.Kom","architecture framework, bpmn, business process, business process model, business process modeling, class diagram, information system, process, process modeling, requirements management, system architectures, use case diagram, model arsitektur, pengumpulan data, proses pengembangan, ekonomi, perangkat keras, kualitas informasi, sistem informasi, arsitektur sistem informasi, teknologi informasi, proses, kepuasan, kualitas layanan, perangkat lunak, arsitektur sistem, kualitas sistem",G6401211008
Sistem Manajemen Basis Data Patroli Pencegahan Karhutla Wilayah Sumatra,"Prof. Dr. Imas Sukaesih Sitanggang, S.Si, M.Kom","economics, mobile web, prototyping, sistem akuisisi, komunikasi, ilmu komputer, visualisasi data, manajemen basis data, proses pengembangan, sistem informasi, proses, model relasional, sistem arsitektur, visualisasi",G6401211010
Perancangan Arsitektur Sistem Informasi Patroli Pencegahan Kebakaran Hutan dan Lahan (SIPP Karhutla) Menggunakan TOGAF ADM,"Dr. Hendra Rahmawan, S.Kom, M.Kom","architecture framework, bpmn, business process, business process model, business process modeling, class diagram, information system, process, process modeling, requirements management, system architectures, use case diagram, model arsitektur, pengumpulan data, proses pengembangan, ekonomi, perangkat keras, kualitas informasi, sistem informasi, arsitektur sistem informasi, teknologi informasi, proses, kepuasan, kualitas layanan, perangkat lunak, arsitektur sistem, kualitas sistem",G6401211010
